date,time,comp_level_ft,temperature,year,month,wy
2024-11-16,12:00:49,1.2959317585301837,13.8,2024,11,2025
2024-11-16,12:15:49,1.2959317585301837,13.8,2024,11,2025
2024-11-16,12:30:49,1.299212598425197,13.8,2024,11,2025
2024-11-16,12:45:49,1.2926509186351707,13.8,2024,11,2025
2024-11-16,13:00:49,1.2926509186351707,13.8,2024,11,2025
2024-11-16,13:15:49,1.2893700787401576,13.8,2024,11,2025
2024-11-16,13:30:49,1.2926509186351707,13.7,2024,11,2025
2024-11-16,13:45:49,1.2828083989501313,13.4,2024,11,2025
2024-11-16,14:00:49,1.2795275590551183,13.2,2024,11,2025
2024-11-16,14:15:49,1.276246719160105,13.2,2024,11,2025
2024-11-16,14:30:49,1.2860892388451444,13.2,2024,11,2025
2024-11-16,14:45:49,1.2893700787401576,13.4,2024,11,2025
2024-11-16,15:00:49,1.30249343832021,13.5,2024,11,2025
2024-11-16,15:15:49,1.30249343832021,13.6,2024,11,2025
2024-11-16,15:30:49,1.3090551181102363,13.7,2024,11,2025
2024-11-16,15:45:49,1.3188976377952757,14,2024,11,2025
2024-11-16,16:00:49,1.3090551181102363,14,2024,11,2025
2024-11-16,16:15:49,1.2860892388451444,13.9,2024,11,2025
2024-11-16,16:30:49,1.2959317585301837,14.3,2024,11,2025
2024-11-16,16:45:49,1.299212598425197,14.3,2024,11,2025
2024-11-16,17:00:49,1.299212598425197,14.6,2024,11,2025
2024-11-16,17:15:49,1.30249343832021,14.4,2024,11,2025
2024-11-16,17:30:49,1.299212598425197,14.4,2024,11,2025
2024-11-16,17:45:49,1.3057742782152233,14.4,2024,11,2025
2024-11-16,18:00:49,1.3156167979002626,14.4,2024,11,2025
2024-11-16,18:15:49,1.3188976377952757,14.5,2024,11,2025
2024-11-16,18:30:49,1.3188976377952757,14.6,2024,11,2025
2024-11-16,18:45:49,1.3123359580052494,14.6,2024,11,2025
2024-11-16,19:00:49,1.3123359580052494,14.7,2024,11,2025
2024-11-16,19:15:49,1.299212598425197,14.6,2024,11,2025
2024-11-16,19:30:49,1.30249343832021,14.7,2024,11,2025
2024-11-16,19:45:49,1.3057742782152233,14.7,2024,11,2025
2024-11-16,20:00:49,1.3156167979002626,14.7,2024,11,2025
2024-11-16,20:15:49,1.3123359580052494,14.7,2024,11,2025
2024-11-16,20:30:49,1.3123359580052494,14.7,2024,11,2025
2024-11-16,20:45:49,1.3090551181102363,14.7,2024,11,2025
2024-11-16,21:00:49,1.3090551181102363,14.7,2024,11,2025
2024-11-16,21:15:49,1.299212598425197,14.7,2024,11,2025
2024-11-16,21:30:49,1.3057742782152233,14.7,2024,11,2025
2024-11-16,21:45:49,1.3090551181102363,14.6,2024,11,2025
2024-11-16,22:00:49,1.30249343832021,14.6,2024,11,2025
2024-11-16,22:15:49,1.299212598425197,14.6,2024,11,2025
2024-11-16,22:30:49,1.299212598425197,14.7,2024,11,2025
2024-11-16,22:45:49,1.3057742782152233,14.7,2024,11,2025
2024-11-16,23:00:49,1.30249343832021,14.6,2024,11,2025
2024-11-16,23:15:49,1.3090551181102363,14.6,2024,11,2025
2024-11-16,23:30:49,1.3156167979002626,14.6,2024,11,2025
2024-11-16,23:45:49,1.30249343832021,14.6,2024,11,2025
2024-11-17,00:00:49,1.30249343832021,14.6,2024,11,2025
2024-11-17,00:15:49,1.299212598425197,14.6,2024,11,2025
2024-11-17,00:30:49,1.2926509186351707,14.6,2024,11,2025
2024-11-17,00:45:49,1.2959317585301837,14.6,2024,11,2025
2024-11-17,01:00:49,1.2959317585301837,14.6,2024,11,2025
2024-11-17,01:15:49,1.2959317585301837,14.6,2024,11,2025
2024-11-17,01:30:49,1.299212598425197,14.6,2024,11,2025
2024-11-17,01:45:49,1.2959317585301837,14.6,2024,11,2025
2024-11-17,02:00:49,1.2959317585301837,14.6,2024,11,2025
2024-11-17,02:15:49,1.30249343832021,14.6,2024,11,2025
2024-11-17,02:30:49,1.3057742782152233,14.6,2024,11,2025
2024-11-17,02:45:49,1.3090551181102363,14.6,2024,11,2025
2024-11-17,03:00:49,1.299212598425197,14.5,2024,11,2025
2024-11-17,03:15:49,1.299212598425197,14.5,2024,11,2025
2024-11-17,03:30:49,1.2959317585301837,14.5,2024,11,2025
2024-11-17,03:45:49,1.2959317585301837,14.5,2024,11,2025
2024-11-17,04:00:49,1.299212598425197,14.5,2024,11,2025
2024-11-17,04:15:49,1.2959317585301837,14.5,2024,11,2025
2024-11-17,04:30:49,1.299212598425197,14.4,2024,11,2025
2024-11-17,04:45:49,1.299212598425197,14.4,2024,11,2025
2024-11-17,05:00:49,1.3057742782152233,14.4,2024,11,2025
2024-11-17,05:15:49,1.3057742782152233,14.4,2024,11,2025
2024-11-17,05:30:49,1.3057742782152233,14.3,2024,11,2025
2024-11-17,05:45:49,1.299212598425197,14.3,2024,11,2025
2024-11-17,06:00:49,1.2926509186351707,14.3,2024,11,2025
2024-11-17,06:15:49,1.299212598425197,14.1,2024,11,2025
2024-11-17,06:30:49,1.3123359580052494,14.2,2024,11,2025
2024-11-17,06:45:49,1.3123359580052494,14.1,2024,11,2025
2024-11-17,07:00:49,1.325459317585302,14.1,2024,11,2025
2024-11-17,07:15:49,1.3188976377952757,14.1,2024,11,2025
2024-11-17,07:30:49,1.3221784776902887,14.2,2024,11,2025
2024-11-17,07:45:49,1.3156167979002626,14.2,2024,11,2025
2024-11-17,08:00:49,1.3090551181102363,14.2,2024,11,2025
2024-11-17,08:15:49,1.30249343832021,14.3,2024,11,2025
2024-11-17,08:30:49,1.30249343832021,14.3,2024,11,2025
2024-11-17,08:45:49,1.2959317585301837,14.3,2024,11,2025
2024-11-17,09:00:49,1.2959317585301837,14.2,2024,11,2025
2024-11-17,09:15:49,1.30249343832021,14.2,2024,11,2025
2024-11-17,09:30:49,1.3156167979002626,14.2,2024,11,2025
2024-11-17,09:45:49,1.3188976377952757,14.1,2024,11,2025
2024-11-17,10:00:49,1.3156167979002626,14.2,2024,11,2025
2024-11-17,10:15:49,1.30249343832021,14.1,2024,11,2025
2024-11-17,10:30:49,1.2893700787401576,14.1,2024,11,2025
2024-11-17,10:45:49,1.2893700787401576,14,2024,11,2025
2024-11-17,11:00:49,1.2893700787401576,13.9,2024,11,2025
2024-11-17,11:15:49,1.2828083989501313,14,2024,11,2025
2024-11-17,11:30:49,1.2795275590551183,14,2024,11,2025
2024-11-17,11:45:49,1.272965879265092,14,2024,11,2025
2024-11-17,12:00:49,1.2696850393700787,13.9,2024,11,2025
2024-11-17,12:15:49,1.276246719160105,14,2024,11,2025
2024-11-17,12:30:49,1.2828083989501313,13.9,2024,11,2025
2024-11-17,12:45:49,1.2860892388451444,13.9,2024,11,2025
2024-11-17,13:00:49,1.2860892388451444,13.9,2024,11,2025
2024-11-17,13:15:49,1.2860892388451444,13.9,2024,11,2025
2024-11-17,13:30:49,1.2795275590551183,14,2024,11,2025
2024-11-17,13:45:49,1.276246719160105,14,2024,11,2025
2024-11-17,14:00:49,1.2893700787401576,14.1,2024,11,2025
